"","TCSER","hUSI","Group"
"TCGA.5N.A9KI.01",0.468778827789143,0.483416113109617,"BLCA"
"TCGA.BT.A20Q.11",0.822962544599341,0.62000990842738,"BLCA"
"TCGA.FD.A3SP.01",0.241324458410648,0.463497916892608,"BLCA"
"TCGA.BT.A20U.11",0.464049391288978,0.443347219709072,"BLCA"
"TCGA.XF.AAMH.01",0.0816726803672123,0.296833895615323,"BLCA"
"TCGA.DK.A2I2.01",0.0519571926994722,0.478478722435535,"BLCA"
"TCGA.KQ.A41O.01",-0.136810655794726,0.2887918303477,"BLCA"
"TCGA.DK.A3IM.01",-0.790191398227347,0.255057806529023,"BLCA"
"TCGA.4Z.AA7Q.01",0.141279666680978,0.447674786384194,"BLCA"
"TCGA.K4.A3WV.11",0.604804236519142,0.588065510340081,"BLCA"
"TCGA.DK.A2I6.01",-0.581734443409972,0.249922539191939,"BLCA"
"TCGA.CU.A0YN.11",0.26268084797766,0.426002406162449,"BLCA"
"TCGA.DK.A6B6.01",0.355448946549734,0.512262407254684,"BLCA"
"TCGA.CU.A72E.01",0.389251013331666,0.478459690590477,"BLCA"
"TCGA.FT.A61P.01",-0.0248894274982442,0.425983068783688,"BLCA"
"TCGA.DK.A3IQ.01",0.992301486674283,0.564866192326271,"BLCA"
"TCGA.UY.A78N.01",-0.887545635924806,0.229991314892622,"BLCA"
"TCGA.GC.A6I3.11",-0.0077850579502784,0.411980724120771,"BLCA"
"TCGA.4Z.AA7Y.01",-0.0949202893025222,0.469076509677528,"BLCA"
"TCGA.G2.A2EK.01",0.525651677506151,0.591346620956767,"BLCA"
"TCGA.FD.A3SO.01",-0.28088384070323,0.346894247051774,"BLCA"
"TCGA.GC.A3WC.01",-0.285258270444589,0.387637219154961,"BLCA"
"TCGA.4Z.AA7M.01",-0.582604643689888,0.328336297832293,"BLCA"
"TCGA.BL.A3JM.01",-0.817942035046707,0.144301830409111,"BLCA"
"TCGA.ZF.AA4U.01",0.127260246023657,0.457156350693252,"BLCA"
"TCGA.ZF.AA53.01",0.19591013611847,0.455664133807869,"BLCA"
"TCGA.CF.A9FF.01",0.233535048062638,0.474429829328631,"BLCA"
"TCGA.DK.A3IV.01",-0.368272633605409,0.39816143851716,"BLCA"
"TCGA.BT.A2LA.11",0.633970836877762,0.521623071900467,"BLCA"
"TCGA.FJ.A3Z9.01",-0.0263407211591362,0.412009746416445,"BLCA"
"TCGA.XF.AAMT.01",0.365739589250667,0.472565794088386,"BLCA"
"TCGA.XF.AAN4.01",0.678917280498956,0.582733516906302,"BLCA"
"TCGA.XF.A8HB.01",-0.76049679687404,0.262719153504698,"BLCA"
"TCGA.BT.A0S7.01",-0.622185443812463,0.32478136081091,"BLCA"
"TCGA.FD.A5C1.01",0.161411956602483,0.45944289628135,"BLCA"
"TCGA.FD.A3B4.01",-0.183422037164589,0.386494331557628,"BLCA"
"TCGA.FD.A3N5.01",-0.406938494000766,0.252265326876058,"BLCA"
"TCGA.4Z.AA86.01",-0.181056346036915,0.403313618198446,"BLCA"
"TCGA.4Z.AA7O.01",-0.121359026129264,0.44869985420077,"BLCA"
"TCGA.BT.A2LB.01",0.206084351688406,0.41494158689579,"BLCA"
"TCGA.GV.A3QF.01",-0.155535157637121,0.392074035258016,"BLCA"
"TCGA.E7.A7DV.01",0.070110394509415,0.485303537696014,"BLCA"
"TCGA.XF.A9SI.01",-0.0309984054848471,0.445958920179678,"BLCA"
"TCGA.C4.A0F7.01",-0.552899301919869,0.291995662971084,"BLCA"
"TCGA.DK.A6AW.01",0.47538014663342,0.541183856646321,"BLCA"
"TCGA.DK.AA75.01",-0.705949206303518,0.194033008380545,"BLCA"
"TCGA.FD.A62O.01",0.365737375643346,0.447523689594871,"BLCA"
"TCGA.LT.A5Z6.01",-0.497512729650709,0.358600723676896,"BLCA"
"TCGA.FD.A3B8.01",0.361829144747478,0.540508232190526,"BLCA"
"TCGA.FJ.A3ZE.01",-0.162306221143028,0.455970297341542,"BLCA"
"TCGA.ZF.A9RM.01",-0.621151953091847,0.365888918026335,"BLCA"
"TCGA.UY.A78L.01",-0.339328640613427,0.385052364658641,"BLCA"
"TCGA.DK.A2I1.01",0.374743746444246,0.507618832524771,"BLCA"
"TCGA.FD.A62S.01",-0.0621747982335655,0.400404872622756,"BLCA"
"TCGA.XF.AAMZ.01",-0.956216513600089,0.206869677436448,"BLCA"
"TCGA.FD.A3SM.01",0.798053826278414,0.548602919062138,"BLCA"
"TCGA.E7.A85H.01",-0.718438386558669,0.322184204108096,"BLCA"
"TCGA.E7.A678.01",0.375246631164967,0.516467539695046,"BLCA"
"TCGA.BT.A20X.01",-0.248895263109101,0.431345520378233,"BLCA"
"TCGA.CF.A9FH.01",0.0686077215047177,0.449813300930488,"BLCA"
"TCGA.FD.A3N6.01",-0.471547096092845,0.39769157000708,"BLCA"
"TCGA.CF.A47T.01",-0.215999853728315,0.283320383083822,"BLCA"
"TCGA.4Z.AA7W.01",-0.20616888128484,0.355394382319162,"BLCA"
"TCGA.C4.A0F6.01",-0.0802778463531514,0.379170875369554,"BLCA"
"TCGA.4Z.AA7S.01",-0.356212313011073,0.407183767960612,"BLCA"
"TCGA.UY.A78K.01",-0.661206247734329,0.375972033395271,"BLCA"
"TCGA.4Z.AA87.01",-0.849543525928969,0.248789962416383,"BLCA"
"TCGA.DK.A3IN.01",-0.183376837958671,0.384174566642801,"BLCA"
"TCGA.CU.A0YO.01",0.896448474506161,0.563947974483184,"BLCA"
"TCGA.ZF.A9R5.01",0.314325307554625,0.567727844072497,"BLCA"
"TCGA.ZF.A9R1.01",-0.17697678807548,0.377310028535099,"BLCA"
"TCGA.CF.A47S.01",0.41791167046292,0.574689115321942,"BLCA"
"TCGA.FD.A62N.01",0.31374503670121,0.444081152981235,"BLCA"
"TCGA.YC.A89H.01",-0.232774940769934,0.44286708208373,"BLCA"
"TCGA.GU.A42R.01",0.0534927194397766,0.531619335287312,"BLCA"
"TCGA.CF.A47X.01",0.187609408186368,0.539472542562135,"BLCA"
"TCGA.2F.A9KQ.01",0.456083839616138,0.557528739138872,"BLCA"
"TCGA.DK.A1A7.01",0.0427099314687845,0.373850454161574,"BLCA"
"TCGA.LT.A8JT.01",0.345471996936265,0.549799914595874,"BLCA"
"TCGA.GV.A6ZA.01",-0.780548345917356,0.325499580961112,"BLCA"
"TCGA.FD.A5BT.01",0.34016628787172,0.399830879044253,"BLCA"
"TCGA.GV.A3QH.01",-0.522746973650384,0.348531483386185,"BLCA"
"TCGA.SY.A9G0.01",0.780405195773225,0.594194238160248,"BLCA"
"TCGA.BT.A2LD.01",0.0384327396570145,0.3181726380788,"BLCA"
