"","orig.ident","nCount_RNA","nFeature_RNA","celltype","hUSI","subtype","TSNE_1","TSNE_2"
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.C03.S219.comb","SeuratProject",11567.7084871,3795,"T cell",0.540552493150061,"T cell",13.7623745500599,-1.97005414395186
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.C09.S225.comb","SeuratProject",9982.93018829998,2988,"T cell",0.620836615206772,"T cell",-1.22859060420772,8.63076478160942
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.C05.S509.comb","SeuratProject",10385.733921,3516,"B cell",0.542861144543577,"B cell",14.5698266887844,21.5130025503314
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E10.S538.comb","SeuratProject",9485.021853,2583,"T cell",0.551977537390209,"T cell",5.31701912342296,-11.9567225560183
"cy79.p3.CD45.neg.PD1.pos.AS.C3.R1.C07.S319.comb","SeuratProject",11921.5789658,4320,"Endo. cell",0.646722391852865,"Endo cell",-40.4390643612175,-8.19384680304137
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.G05.S269.comb","SeuratProject",11567.9516685,3642,"T cell",0.52866282498829,"T cell",2.17370853426228,12.4554048417788
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.C07.S511.comb","SeuratProject",8644.26934959999,2608,"B cell",0.533780613647844,"B cell",16.0060005666229,24.0776343284889
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.H09.S573.comb","SeuratProject",10428.7147039,3553,"B cell",0.591409606781143,"B cell",17.7310273889938,20.4759301054568
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.B05.S401.comb","SeuratProject",10552.852146,3556,"T cell",0.640010013858271,"T cell",-0.00848077894010669,10.7788641681986
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.F10.S550.comb","SeuratProject",8774.6952825,2262,"B cell",0.525957085737292,"B cell",18.6105569823353,22.5962271464008
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.F11.S455.comb","SeuratProject",9470.78266300002,3649,"T cell",0.556089009136596,"T cell",-2.05994456450598,-8.36858576671548
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.C06.S222.comb","SeuratProject",12949.525804,4671,"T cell",0.53705125553457,"T cell",12.4272298669126,0.610839605440221
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.E09.S441.comb","SeuratProject",8609.67416849999,2316,"T cell",0.490700307830156,"T cell",-4.85224166851361,3.37316163467468
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.B07.S499.comb","SeuratProject",8381.00837250004,2808,"B cell",0.487189235141116,"B cell",15.91767745473,24.1994213738662
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E02.S530.comb","SeuratProject",10129.9349373,2843,"B cell",0.481196682415937,"B cell",17.5362847563427,20.3162579768421
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.A12.S396.comb","SeuratProject",8691.94893400001,2584,"T cell",0.545528429853086,"T cell",-3.60254536158299,3.35057194694859
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.D06.S234.comb","SeuratProject",10984.9418026,3544,"T cell",0.533322340234256,"T cell",-0.166697800273573,8.82505520153422
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.F07.S259.comb","SeuratProject",11560.1482073,3750,"T cell",0.555707773777504,"T cell",10.3815695589193,-3.17049526345321
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.G12.S276.comb","SeuratProject",10430.2052235,3128,"T cell",0.578467821916477,"T cell",-10.8655050232649,10.6507373811932
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.C09.S417.comb","SeuratProject",8264.6004103,2442,"T cell",0.515694935719736,"T cell",-3.09438127209842,-0.367403494157986
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.A02.S194.comb","SeuratProject",9242.35126,2164,"T cell",0.522690696898174,"T cell",-2.88949394869608,-4.00809418686151
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.C12.S420.comb","SeuratProject",7412.75528700002,2411,"T cell",0.466148660697773,"T cell",-11.3947229240452,1.49176131892816
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.F07.S451.comb","SeuratProject",9511.60415199999,2548,"T cell",0.47401758075564,"T cell",-4.50717404871005,-5.73081071652445
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.F11.S263.comb","SeuratProject",10541.430673,3011,"T cell",0.523644326887071,"T cell",-0.282613035435222,9.09996214386388
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.E11.S443.comb","SeuratProject",10126.806299,3791,"T cell",0.565675140416494,"T cell",1.77817126184952,-3.68850381220448
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.F08.S260.comb","SeuratProject",10728.7821925,3166,"T cell",0.53823356855389,"T cell",1.19713536901433,10.4482638066041
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.C01.S505.comb","SeuratProject",9048.6371173,3035,"T cell",0.496622138309831,"T cell",8.66991015614009,-13.7333810762516
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.D11.S527.comb","SeuratProject",9535.91806929997,2948,"T cell",0.580361249886176,"T cell",7.82757989887724,-12.5620515716888
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.B07.S211.comb","SeuratProject",9848.70519299999,2287,"T cell",0.554563174450469,"T cell",-0.912110487772901,10.3609577615976
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.G10.S274.comb","SeuratProject",11013.9551146,3674,"T cell",0.50836895149036,"T cell",-7.36522031861857,14.0090348501178
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.C12.S228.comb","SeuratProject",9816.81888759998,2800,"T cell",0.541960304453778,"T cell",-6.31017142650796,7.31866045080649
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.E06.S438.comb","SeuratProject",11133.5774193,3200,"T cell",0.317023906361977,"T cell",-4.49918934608823,23.9450334689792
