"","weight","set"
"AC107871.1",-0.00343891364144866,"Other"
"AC108488.2",-0.000649176727214439,"Other"
"AC110275.1",-0.0018255740453217,"Other"
"AC112128.1",-0.00214776632184335,"Other"
"AC114490.2",-0.00190900413636262,"Other"
"AC114490.3",0.0154147687819701,"Other"
"AC116366.3",-0.000472409156663367,"Other"
"AC117378.1",0.00041732580565953,"Other"
"AC118549.1",0.0003661709596932,"Other"
"AC118553.2",-0.00222219099285947,"Other"
"AC118754.1",0.00368977560840352,"Other"
"AC119674.2",-0.0035227101070383,"Other"
"AC120057.2",-0.00527730376542104,"Other"
"AC120114.4",0.00936348702812349,"Other"
"AC124319.1",-0.000111083277038833,"Other"
"AC129492.1",-0.00240893227356307,"Other"
"AC129492.4",-0.000477175261631382,"Other"
"AC131160.1",0.000270503925159837,"Other"
"AC135050.2",0.00207383948349152,"Other"
"AC135178.2",-0.000964975676270411,"Other"
"AC137834.1",0.00321338541711858,"Other"
"AC138811.2",-0.00228133516283425,"Other"
"AC138894.1",0.00256698436540833,"Other"
"AC138969.1",-0.000386733366932729,"Other"
"AC139530.1",0.00372276359727151,"Other"
"AC139530.3",-0.000459299512389581,"Other"
"AC139768.1",-0.00095473010581874,"Other"
"AC142391.1",0.00623674793729722,"Other"
"AC231657.3",0.00549917377242282,"Other"
"AC239811.1",-0.000127691826712969,"Other"
"AC242843.1",-1.11117661501749e-05,"Other"
"AC243547.3",0.0119238986236748,"Other"
"AC244197.3",0.00311427861469134,"Other"
"AC245033.1",-0.00158984458953151,"Other"
"AC253536.7",-0.0028720584842259,"Other"
"AC253572.1",-0.000508045078370909,"Other"
"ACAA1",0.000944380920712929,"Other"
"ACAA2",-0.000686537223051383,"Other"
"ACACA",-0.00159333887624038,"Other"
"ACACB",-0.00395183987143006,"Other"
"ACAD10",-6.38698704795496e-05,"Other"
"ACAD11",0.00160829331433902,"Other"
"ACAD8",0.000540949000074556,"Other"
"ACAD9",-8.03902829055367e-05,"Other"
"ACADM",-0.000705319538652266,"Other"
"ACADS",-0.000163078285632886,"Other"
"ACADSB",-0.00066779379985759,"Other"
"ACADVL",0.00226582785493741,"Other"
"ACAN",-0.00972699817225857,"Other"
"ACAP1",0.00168943845711845,"Other"
"ACAP2",0.00106212449426994,"Other"
"ACAP3",0.000487863542886664,"Other"
"ACAT1",0.000392746059702992,"Other"
"ACAT2",-0.00548540260329304,"Other"
"ACBD3",0.000286268879667701,"Other"
"ACBD4",5.64672688861904e-05,"Other"
"ACBD5",0.000202055765657324,"Other"
"ACBD6",-0.00133555554269656,"Other"
"ACCS",0.00102254147816477,"Other"
"ACCSL",-0.000328213704197129,"Other"
"ACD",-0.000607302915386097,"Other"
"ACE",0.00390617200265029,"Other"
"ACER2",0.000912115637805215,"Other"
"ACER3",-0.00123649872193924,"Other"
"ACHE",-0.00233133466929827,"Other"
"ACIN1",0.000519068002758197,"Other"
"ACKR3",0.00951612921221498,"Other"
"ACKR4",0.00402344734743595,"Other"
"ACLY",-0.0016242981041606,"Other"
"ACO1",0.00136250370428056,"Other"
"ACO2",-9.6275166644141e-05,"Other"
"ACOT1",-0.00139455650331649,"Other"
"ACOT11",-0.00288033263427117,"Other"
"ACOT12",0.000433217261192285,"Other"
"ACOT13",-0.000112771102258943,"Other"
"ACOT2",-0.00126832536074238,"Other"
"ACOT4",-0.00197794198167998,"Other"
"ACOT7",-0.000545454757828852,"Other"
"ACOT8",0.000501543372834528,"Other"
"ACOT9",0.000729559065579933,"Other"
"ACOX1",0.00106684978075542,"Other"
"ACOX2",-0.00454701925926657,"Other"
"ACOX3",-0.000619496567151054,"Other"
"ACP1",0.000240316181265215,"Other"
"ACP2",0.00035628424180873,"Other"
"ACP5",-0.00202246114108581,"Other"
"ACP6",-0.000459786090085609,"Other"
"ACP7",0.00064360845789338,"Other"
"ACPP",0.00345016270332734,"Other"
"ACSF2",0.000203182770655814,"Other"
"ACSF3",-0.000812217579114716,"Other"
"ACSL1",-0.00070550094285507,"Other"
"ACSL3",-0.000306080689047561,"Other"
"ACSL4",0.00010563701018976,"Other"
"ACSL5",0.00562469531228936,"Other"
"ACSS1",-0.00350688063143748,"Other"
"ACSS2",-0.00157988470663956,"Other"
"ACSS3",0.0022269005381419,"Other"
"ACTA1",0.00191714808242769,"Other"
"ACTA2",-0.00199860075572346,"Other"
"ACTB",6.15743534310581e-05,"Other"
"ACTC1",0.00154573264677735,"Other"
"ACTG1",-0.000371347598859791,"Other"
"ACTG2",-0.0149977101843202,"Other"
"ACTL10",-0.00121052243477863,"Other"
"ACTL6A",-0.000975667961852039,"Other"
"ACTN1",-0.000348798993383539,"Other"
"ACTN4",-0.00164007758603498,"Other"
"ACTR10",0.00133523261489677,"Other"
"ACTR1A",0.000397742204923446,"Other"
"ACTR1B",-0.000121652910269255,"Other"
"ACTR2",-0.000742040838048536,"Other"
"ACTR3",0.000296020509765252,"Other"
"ACTR3B",-0.00109376736429118,"Other"
"ACTR3C",-0.00186620831263072,"Other"
"ACTR5",-0.00175341034735409,"Other"
"ACTR6",0.000999576557834357,"Other"
"ACTR8",0.000252991044821348,"Other"
"ACTRT3",-0.000441201409050463,"Other"
"ACVR1",-0.000359807388690384,"Other"
"ACVR1B",-0.000105909192762627,"SenMayo"
"ACVR2A",0.00126939853655623,"Other"
