"","method.DAS","method.mSS","method.DAS_mSS","method.lassoCS","method.CSS","marker.GLB1","marker.TP53","marker.CDKN1A","marker.CDKN2A","marker.LMNB1","marker.IL1A","marker.RB1","marker.CDK1","marker.CDK4","marker.MKI67","marker.CDKN2B","ssgsea.SenMayo","ssgsea.CellAge","ssgsea.GenAge","ssgsea.ASIG","ssgsea.SASP","ssgsea.AgingAtlas","ssgsea.SenUp","ssgsea.SigRS","hUSI","Condition"
"Hs_LNX2_6.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.0770828638285445,0.128547624269531,0.491562048760951,0.0602138242406824,1.97706397421745,0.242687423235882,0,0.164200378727858,0.182042183224309,0.175511031973188,0.746226543118216,0.00248772662118592,0.237805309751573,1.85930732003924,4.95920328060962,6.31355007735407,6.08280609080337,5.23258520341828,5.01955558160132,5.5081455089791,5.26155247959873,0.1052662798187,"Senescence"
"Hs_LNX2_6.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0863351382272115,0.111567361190811,0.538564794105275,0.0383079315769907,2.1567608330506,0.206857809005601,0,0.168752067473175,0.350014549867908,0.303105002340242,0.817564253523297,0,0.375202563509568,1.92630103242403,4.87690292315337,6.33249458434967,6.03892262138292,5.3533619452909,5.16835773362484,5.49976422607517,5.2014496528887,0.105500049413545,"Senescence"
"Hs_LNX2_6.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.0790245001681247,0.122972859747953,0.531141640300491,0.0690638641863126,2.06284829061773,0.421105519304646,0,0.234397896250969,0.176808830782498,0.155505609203108,0.933690215791476,0.000692307476381403,0.409904579017556,1.94873735701206,5.1238097284479,6.35589551033696,6.22282950618547,5.47810162570977,5.12086660502145,5.53973852400954,5.31762004204398,0.104703996060366,"Senescence"
"Hs_LOC399818_2.Rep1",0.916666666666667,0.6875,0.785714285714286,0.0241417475560794,0.142237128270797,0.624088588467009,0.0661618116042095,2.20358745605894,0.502960205252731,0,0.125315689020248,0.319837362548514,0.0873924606249103,0.766432422350797,0.00295968219644387,0.232410712110345,1.87448648323338,5.11269744865863,6.36073621799159,6.19276589262313,5.15127686674616,5.14808864399897,5.67008737799826,5.36326014239986,0.116077524111498,"Senescence"
"Hs_LOC399818_2.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.030924146672496,0.118860930226654,0.627555204730982,0.041388926199675,2.22791375894652,0.476941621381238,0,0.101661297434235,0.216577044885172,0.111360281757701,0.787717174743193,0.00473823499124975,0.325220488650154,1.84716221665566,5.31334909071968,6.72448033033098,6.4079677421063,5.49020099098123,5.39280160803551,5.75666218831155,5.57051414698801,0.108676620003219,"Senescence"
"Hs_LOC399818_2.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.134339811076634,0.108073592727176,0.689016596223084,0.04143101196562,2.13020549628264,0.447514068409143,0,0.0644042127507852,0.382415882324244,0.0727790533577557,0.668800632489195,0,0.426363485096624,1.7423801245298,5.09599965957626,6.42209120828923,6.25758871199969,5.51369377658805,5.10902093838448,5.65248998590904,5.42191887938762,0.120144600378066,"Senescence"
"Hs_LOC399818_5.Rep1",0.833333333333333,0.6875,0.75,-0.0594287683221356,0.139062158401292,0.648088201351806,0.0266643145603872,2.12809010892917,0.289350995348789,0,0.136517281675108,0.181506434975057,0.202428940770391,1.02611036950718,0.001321282129727,0.235010239454166,1.88466111736442,4.71309358395433,6.10189357006982,5.88582572524034,5.30346631193536,4.98047578465821,5.46231846234211,4.99645342152182,0.101263060783887,"Senescence"
"Hs_LOC399818_5.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0716408407087897,0.133977366431296,0.569470783814748,0.0445795762092194,2.40676682475648,0.339751893160154,0,0.0860744463050134,0.202512808091141,0.0899399359541743,1.01889968252849,0.000668611707760947,0.31453740782677,1.9600946236097,4.96593265231272,6.3970136395803,6.11897145093464,5.36940664446033,5.18219708470051,5.52532651551715,5.24815323355865,0.100173263881624,"Senescence"
"Hs_LOC399818_5.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.0435329726061828,0.134878689894325,0.621580484300771,0.0612892448150247,2.66090407637795,0.355383007366338,0,0.153319632619756,0.324415896511818,0.14155342319764,1.21440739484927,0.00203458213914484,0.199068931992849,1.93899694008426,5.03854234316118,6.51649257322589,6.27903918258415,5.47810851852731,5.29681869233782,5.41402391738515,5.25226448746523,0.0899193624625798,"Senescence"
"Hs_LOC51136_4.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.0265899757522655,0.12181946180359,0.43602328053738,0.0444597256560311,2.15177651655546,0.361239282067878,0,0.0849249478629049,0.254433445170387,0.0761676965108052,1.05015607081879,0.000655159532376475,0.205068226181421,1.91861287916408,5.0322251649552,6.24086114494533,6.18511068160319,5.44637608139788,5.12401253848843,5.44425436524864,5.1722907541249,0.100611274040833,"Senescence"
"Hs_LOC51136_4.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.062247613278729,0.150440066257707,0.562061159812851,0.0296287475749939,2.24830885349257,0.456876881849659,0,0.115809110977692,0.18021116349818,0.0969006478589736,1.30905759440032,0.00182463869293732,0.269318998187164,1.96910008179167,5.00407144255121,6.49649243407099,6.24191946321798,5.28650973892664,5.19961566825825,5.42965777615315,5.19300929134717,0.0937257612354957,"Senescence"
"Hs_LOC51136_4.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.0999731331846355,0.145323684666299,0.605483905421893,0.0453831593703312,2.202192031774,0.318650165195724,0,0.0567532251101557,0.302807451836611,0.0582258005045689,1.17002269636532,0.00124625559710016,0.319851961878009,1.89228645893672,4.95860070763641,6.41316653297883,6.09275045176608,5.19697814285279,5.08445513687238,5.42913893638216,5.25538132364584,0.10324274289637,"Senescence"
"Hs_LOC51136_7.Rep1",0.916666666666667,0.6875,0.785714285714286,0.0320987507530364,0.150363656976369,0.53638681900891,0.0665708348171887,1.97483224731859,0.312525291364344,0,0.152835098458039,0.361565263175931,0.491912403055527,0.89064439018069,0.00505603307568306,0.179520976156081,1.80479044450071,5.03223885094896,6.33198190161796,6.17507512490737,5.36352260778134,5.09414173181736,5.52045709797567,5.2025974672942,0.0996758517258108,"Senescence"
"Hs_LOC51136_7.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0412894037361494,0.144362660318751,0.557487628779036,0.0597111527324152,2.00820795547876,0.336645559358385,0,0.112488256202536,0.178857342101936,0.195155105873426,0.902783267483506,0.00259400410290839,0.334195072932609,1.91485705174041,4.71995965328425,6.33325837326307,6.11062085735578,5.33442169915534,5.16543535144859,5.45822574208728,5.22076160922912,0.0953041191846797,"Senescence"
"Hs_LOC51136_7.Rep3",0.916666666666667,0.625,0.75,0.196716488696485,0.141633602540393,0.617757878854989,0.0518925958608777,1.94285381087716,0.425519891187681,0,0.102475051558619,0.123738376273457,0.230299846161669,0.894829890739638,0.0038137996132821,0.257544006538007,1.93663146641099,5.03713262895734,6.41355963248304,6.17182397693331,5.24191517179768,5.20877525557398,5.52362052580782,5.29819760935282,0.0987794439827771,"Senescence"
"Hs_MAP3K6_11.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.0286831734601213,0.116840115459143,0.782620226672466,0.0579393679167758,2.07494678378236,0.384997959321217,0,0.0197700384506489,0.234379547794834,0.163493294533527,1.11500607785867,0.00887882899454698,0.318761811807067,1.6809084078938,5.08971534683558,6.59222350330088,6.19044652187034,5.26063398236119,5.2162133425014,5.51632489935148,5.31217222245879,0.084537202787488,"Senescence"
"Hs_MAP3K6_11.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0895225558226528,0.0989771270055987,0.901566513870756,0.0476528045774371,1.95841150758967,0.490565065912824,0,0.0357356711272206,0.129715718917928,0.0977135930426159,1.15812408335875,0.00553620893620559,0.260207487169326,1.68594296847052,4.88952163981515,6.30120580582089,6.0021457855221,5.44579718499784,5.03008164768014,5.29428231443495,5.07883760800527,0.0794370434619813,"Senescence"
"Hs_MAP3K6_11.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.159122155726883,0.0972160625686599,0.670169675337479,0.0550644884551658,1.76997843960102,0.331545121216592,0,0.026908327916641,0.423208325694551,0.270517163462379,1.0661039454061,0.00457840682219853,0.403626209748205,1.63888951891984,5.02377431988823,6.39870206016935,6.10620606477814,5.20810684780952,5.09546789867267,5.42782881863196,5.24168280808134,0.090386191820305,"Senescence"
"Hs_MAP3K6_5.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.171543671282749,0.0771210882834957,0.487705372751445,0.0384604620110017,1.8171390274537,0.221462779359573,0.00251229318257997,0.0610632672659097,0.481211106511392,0.17995869915873,0.887192664738555,0.00100997542317115,0.105425431903143,1.73811680154807,4.93803428543711,6.39659437686246,6.062174863194,5.28220013890035,5.09399532162266,5.43128478375896,5.28628388323358,0.103471126143562,"Senescence"
"Hs_MAP3K6_5.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.105395022951056,0.107365810526882,0.563771261303367,0.0515539642365554,2.07404078843637,0.293898708173789,0,0.0548549569035505,0.303366325225749,0.164410198364005,1.03049587482808,0.00199767541966818,0.273370744296893,1.70879403034823,4.99278428141125,6.27433683661534,6.0289295237595,5.18899738101223,5.03066695433821,5.24332098242935,5.13267378733246,0.096786448909314,"Senescence"
