"","expression","weight","gene","threshold"
"AC010605.1",0.0145656823980654,0.000569931196311067,"AC010605.1","Positive"
"AC010618.1",-0.00484901199056687,-0.000156378419846297,"AC010618.1","Negative"
"AC010761.1",-0.0303633976789887,-0.00201966749615913,"AC010761.1","Negative"
"AC011005.1",-0.0200202043196196,0.0004249758548397,"AC011005.1","Positive"
"AC011448.1",-0.0231236824066443,0.000225009850573366,"AC011448.1","Positive"
"AC011462.1",0.0534234595338792,0.000401479157979194,"AC011462.1","Positive"
"AC011473.4",-0.0135720803545418,-0.000850126691378916,"AC011473.4","Negative"
"AC011479.1",-0.0949453412683135,-0.010546475980049,"AC011479.1","Negative"
"AC011511.1",-0.054616718386457,-0.000376567982765076,"AC011511.1","Negative"
"AC011511.4",-0.239453812761663,-0.0162660432693612,"AC011511.4","Negative"
"AC011530.1",-0.0591073561465567,-0.0079056740468743,"AC011530.1","Negative"
"AC012184.2",-0.0322811238319716,0.00111859975131421,"AC012184.2","Positive"
"AC012254.2",-0.179405389021985,-0.00574967879361672,"AC012254.2","Negative"
"AC012309.1",0.0126813133079096,0.000478153591881981,"AC012309.1","Positive"
"AC012488.2",0.0285633292623794,-0.00166895458204333,"AC012488.2","Negative"
"AC012531.3",-0.181330803266514,-0.0105582606104473,"AC012531.3","Negative"
"AC012651.1",0.00467597341389026,0.000675470132598997,"AC012651.1","Positive"
"AC013394.1",0.0302186947429002,0.001265609767702,"AC013394.1","Positive"
"AC013489.1",-0.00535302832947373,-0.00285098921686588,"AC013489.1","Negative"
"AC015802.6",0.00302670671948498,0.000871526343214573,"AC015802.6","Positive"
"AC015813.2",-0.0698485311880176,-0.00109686455611295,"AC015813.2","Negative"
"AC016586.1",-0.016331941760357,-0.000362404409800214,"AC016586.1","Negative"
"AC018523.2",-0.0741878525967153,-0.00108557926379903,"AC018523.2","Negative"
"AC018630.2",-0.0326209066157013,-0.00126516148449188,"AC018630.2","Negative"
"AC019257.8",0.0910321227072731,0.00915992652102742,"AC019257.8","Positive"
"AC020909.1",0.0845187876342298,-0.00205433269956045,"AC020909.1","Negative"
"AC020915.5",0.0430327242002808,0.00621949487269374,"AC020915.5","Positive"
"AC021087.5",0.0241022704006119,0.000101468432970425,"AC021087.5","Positive"
"AC022137.3",0.0119288026302101,0.00151949302540593,"AC022137.3","Positive"
"AC022384.1",-0.0264313281638628,-0.00434700349630003,"AC022384.1","Negative"
"AC022400.7",-0.0371889829735472,-0.0035816987913981,"AC022400.7","Negative"
"AC022506.1",-0.0291685377887768,0.00127798735436499,"AC022506.1","Positive"
"AC022826.2",0.111121219571941,0.00555755201546342,"AC022826.2","Positive"
"AC022966.1",0.00244969176242395,-0.000118446624505637,"AC022966.1","Negative"
"AC023055.1",-0.0366824036610544,-0.00358007934027012,"AC023055.1","Negative"
"AC024592.3",-0.0400871689201239,-0.00029986582941477,"AC024592.3","Negative"
"AC025165.3",-0.0703079811574539,-0.000549946262635183,"AC025165.3","Negative"
"AC025165.6",-0.119304094922309,-0.0115063384628201,"AC025165.6","Negative"
"AC026464.3",0.0879698950272434,0.00404913935790821,"AC026464.3","Positive"
"AC026464.4",-0.158327760612137,-0.0103783927933718,"AC026464.4","Negative"
"AC026464.6",-0.103860727852104,0.00322251588537386,"AC026464.6","Positive"
"AC026470.1",0.00363819805506844,-0.000409211467505786,"AC026470.1","Negative"
