"","method","unit","AUC","dataset"
"Teo2019.125","CDKN2B","Fold01.Rep3",0.787722908093278,"Teo2019"
"Teo2019.126","SERPINE1","Fold01.Rep3",0.276288151577503,"Teo2019"
"Teo2019.127","hUSI","Fold02.Rep3",0.827503429355281,"Teo2019"
"Teo2019.128","CDKN1A","Fold02.Rep3",0.71713177297668,"Teo2019"
"Teo2019.129","CDKN2A","Fold02.Rep3",0.705364797668038,"Teo2019"
"Teo2019.130","LMNB1","Fold02.Rep3",0.367991255144033,"Teo2019"
"Teo2019.131","CDKN2B","Fold02.Rep3",0.777659893689986,"Teo2019"
"Teo2019.132","SERPINE1","Fold02.Rep3",0.258830589849108,"Teo2019"
"Teo2019.133","hUSI","Fold03.Rep3",0.828617969821674,"Teo2019"
"Teo2019.134","CDKN1A","Fold03.Rep3",0.69636274005487,"Teo2019"
"Teo2019.135","CDKN2A","Fold03.Rep3",0.710058727709191,"Teo2019"
"Teo2019.136","LMNB1","Fold03.Rep3",0.369920267489712,"Teo2019"
"Teo2019.137","CDKN2B","Fold03.Rep3",0.764585476680384,"Teo2019"
"Teo2019.138","SERPINE1","Fold03.Rep3",0.270661865569273,"Teo2019"
"Teo2019.139","hUSI","Fold04.Rep3",0.824524176954732,"Teo2019"
"Teo2019.140","CDKN1A","Fold04.Rep3",0.699963563100137,"Teo2019"
"Teo2019.141","CDKN2A","Fold04.Rep3",0.69278335048011,"Teo2019"
"Teo2019.142","LMNB1","Fold04.Rep3",0.376446759259259,"Teo2019"
"Teo2019.143","CDKN2B","Fold04.Rep3",0.770790466392318,"Teo2019"
"Teo2019.144","SERPINE1","Fold04.Rep3",0.280982081618656,"Teo2019"
"Teo2019.145","hUSI","Fold05.Rep3",0.819980281207133,"Teo2019"
"Teo2019.146","CDKN1A","Fold05.Rep3",0.706093535665295,"Teo2019"
"Teo2019.147","CDKN2A","Fold05.Rep3",0.711494770233196,"Teo2019"
"Teo2019.148","LMNB1","Fold05.Rep3",0.377743484224966,"Teo2019"
"Teo2019.149","CDKN2B","Fold05.Rep3",0.760973936899863,"Teo2019"
"Teo2019.150","SERPINE1","Fold05.Rep3",0.275677297668038,"Teo2019"
"Teo2019.151","hUSI","Fold06.Rep3",0.822680898491084,"Teo2019"
"Teo2019.152","CDKN1A","Fold06.Rep3",0.690136316872428,"Teo2019"
"Teo2019.153","CDKN2A","Fold06.Rep3",0.717099622770919,"Teo2019"
"Teo2019.154","LMNB1","Fold06.Rep3",0.378793724279835,"Teo2019"
"Teo2019.155","CDKN2B","Fold06.Rep3",0.764639060356653,"Teo2019"
"Teo2019.156","SERPINE1","Fold06.Rep3",0.271637088477366,"Teo2019"
"Teo2019.157","hUSI","Fold07.Rep3",0.830032578875171,"Teo2019"
"Teo2019.158","CDKN1A","Fold07.Rep3",0.713413065843621,"Teo2019"
"Teo2019.159","CDKN2A","Fold07.Rep3",0.69897762345679,"Teo2019"
"Teo2019.160","LMNB1","Fold07.Rep3",0.372985253772291,"Teo2019"
"Teo2019.161","CDKN2B","Fold07.Rep3",0.778731567215363,"Teo2019"
"Teo2019.162","SERPINE1","Fold07.Rep3",0.278592249657064,"Teo2019"
"Teo2019.163","hUSI","Fold08.Rep3",0.822166495198903,"Teo2019"
"Teo2019.164","CDKN1A","Fold08.Rep3",0.695719735939643,"Teo2019"
"Teo2019.165","CDKN2A","Fold08.Rep3",0.699320558984911,"Teo2019"
"Teo2019.166","LMNB1","Fold08.Rep3",0.374796382030178,"Teo2019"
"Teo2019.167","CDKN2B","Fold08.Rep3",0.781592935528121,"Teo2019"
"Teo2019.168","SERPINE1","Fold08.Rep3",0.2846579218107,"Teo2019"
"Teo2019.169","hUSI","Fold09.Rep3",0.826710390946502,"Teo2019"
