"","TCSER","hUSI","Group"
"GTEX-13FH7-2126-SM-5L3DJ",0.174093367,0.658215761093438,"Muscle"
"GTEX-SUCS-0226-SM-32PLQ",-0.223853373,0.723407992430007,"Thyroid"
"GTEX-11DXX-0008-SM-5Q5B8",-0.475228114,0.444318895667897,"Skin"
"GTEX-WZTO-0011-R4A-SM-3NMC7",0.296773778,0.806118177080852,"Brain"
"GTEX-XAJ8-1126-SM-47JYA",-0.089017041,0.694968898408817,"Nerve"
"GTEX-11O72-0626-SM-5PNYE",-0.302624608,0.61704606481437,"Skin"
"GTEX-13PVQ-1926-SM-5L3GN",0.096826601,0.734430703671189,"Esophagus"
"GTEX-OIZH-1326-SM-3NB1H",0.252859388,0.773712299601256,"Adrenal Gland"
"GTEX-13NZ9-0826-SM-5J1NI",0.159945565,0.74400022432963,"Blood Vessel"
"GTEX-13FLV-1226-SM-5IJBZ",0.575182815,0.796998790972193,"Esophagus"
"GTEX-ZDYS-0626-SM-5J2N5",0.069584274,0.760495918038559,"Thyroid"
"GTEX-14DAQ-2526-SM-5RQIO",0.257568718,0.771740524840068,"Adipose Tissue"
"GTEX-Y8LW-1526-SM-5IFHL",-0.056651912,0.703848772002521,"Skin"
"GTEX-13PL6-0526-SM-5L3G6",0.329985908,0.748740585896519,"Blood Vessel"
"GTEX-QV44-2226-SM-447A3",0.427291073,0.678214231818033,"Blood Vessel"
"GTEX-ZF2S-1526-SM-5S2OO",0.383243308,0.869546384642814,"Adipose Tissue"
"GTEX-RUSQ-0926-SM-47JWU",0.098192767,0.697303838093409,"Esophagus"
"GTEX-WHSE-0426-SM-4M1XO",-0.581740883,0.313830339813031,"Testis"
"GTEX-117YX-1126-SM-5H128",0.460809172,0.804879371739512,"Heart"
"GTEX-OHPK-1626-SM-2YUN3",0.173548274,0.621371063642624,"Muscle"
"GTEX-Q734-1626-SM-48U1B",-0.014984852,0.568291839493187,"Uterus"
"GTEX-WWYW-2726-SM-4MVOP",-0.321113551,0.565940846677878,"Ovary"
"GTEX-12696-1126-SM-5FQTI",0.401054838,0.825440173288138,"Heart"
"GTEX-13O61-0126-SM-5KM4P",0.353609663,0.725168357932205,"Adrenal Gland"
"GTEX-13PVR-2326-SM-5QGR1",-0.201553693,0.544528760671754,"Skin"
"GTEX-139YR-2426-SM-5J1OB",0.075544172,0.704300300875314,"Adipose Tissue"
"GTEX-1211K-0426-SM-5FQTP",-0.432607919,0.715771630619837,"Spleen"
"GTEX-PWCY-0726-SM-48TCS",-0.557047599,0.488820111925881,"Esophagus"
"GTEX-13FH7-1226-SM-5IJFK",-0.526511607,0.618722701833826,"Small Intestine"
"GTEX-ZXG5-0326-SM-5GICH",0.227163833,0.70795679793639,"Muscle"
"GTEX-111VG-1926-SM-5GIDO",-0.591569276,0.211059048480706,"Testis"
"GTEX-Q2AG-0005-SM-5SI7F",0.090540961,0.491903111487751,"Blood"
