Gene,Weight,Derection
TESC,0.009335637,Positive
HTR2A,0.009309199,Positive
PODXL2,0.009246478,Positive
PRCD,0.009234327,Positive
KRT79,0.009214184,Positive
COL28A1,0.009210399,Positive
EXTL1,0.009191971,Positive
CGREF1,0.009188636,Positive
TPBGL,0.009173723,Positive
PRPH,0.009164124,Positive
KLHL30,0.009161942,Positive
PDGFB,0.009161339,Positive
NPNT,0.009159442,Positive
CRYM,0.009156868,Positive
PRODH,0.009152476,Positive
PDZD4,0.009140461,Positive
TPRG1,0.009128769,Positive
PROM1,0.009120244,Positive
SP5,0.009118547,Positive
KLK14,0.00910995,Positive
NPY1R,0.009101713,Positive
SCUBE1,0.009027266,Positive
IGFBPL1,0.009018902,Positive
CDK18,0.009012895,Positive
TP63,0.009009173,Positive
KLRG1,0.008990666,Positive
ADAM28,0.00897549,Positive
FUCA1,0.008928432,Positive
RETREG1,0.008918245,Positive
ADAMTS19,0.00890534,Positive
TNFSF9,0.008904045,Positive
ITGAX,0.008900737,Positive
BTG2,0.008880797,Positive
TNFRSF10C,0.008841375,Positive
VIPR1,0.008826373,Positive
KRT3,0.008791381,Positive
AK4,0.008767448,Positive
LTF,0.008751829,Positive
CCKAR,0.008747491,Positive
MAPK11,0.008714898,Positive
SIRT4,0.008701499,Positive
KCNH6,0.008678335,Positive
CDKN1A,0.008668674,Positive
TMPRSS2,0.008665425,Positive
CSMD2,0.008662302,Positive
TMEM229B,0.008661539,Positive
HLA-DRA,0.008622687,Positive
MMP13,0.008594212,Positive
BTC,0.008594175,Positive
PNMA2,0.008556013,Positive
SULT1C4,0.008553582,Positive
CRTAC1,0.008548239,Positive
PNPLA7,0.008541504,Positive
SPATA1,0.008537379,Positive
SPRN,0.008534833,Positive
ARMC3,0.008530572,Positive
PDE2A,0.008526322,Positive
CYFIP2,0.00852465,Positive
DNAJB4,0.008494904,Positive
CDH7,0.008485624,Positive
IBSP,0.008481602,Positive
CRH,0.008466397,Positive
ATP10B,0.008443628,Positive
PLPP7,0.008440851,Positive
SPINT1,0.008437597,Positive
AIFM3,0.008437526,Positive
MLIP,0.008434634,Positive
ABCA8,0.008421455,Positive
ELMO1,0.008418083,Positive
DCDC2C,0.008411099,Positive
UNC13D,0.008394955,Positive
DGKB,0.008388754,Positive
PSORS1C2,0.008384497,Positive
SHC4,0.008378938,Positive
RDH16,0.008369772,Positive
ENC1,0.008365021,Positive
NPPB,0.008341053,Positive
KLRC2,0.008333065,Positive
MAP7,0.008324612,Positive
ERP27,0.00831673,Positive
PI3,0.008296415,Positive
ITGA11,0.008293563,Positive
BIVM-ERCC5,0.008288446,Positive
CSF2RB,0.008259824,Positive
RIPOR2,0.008257504,Positive
NANOS3,0.008254914,Positive
MMP9,0.008238252,Positive
ZBP1,0.008228618,Positive
INHA,0.008220256,Positive
GALNT3,0.008209614,Positive
BHLHE41,0.008209102,Positive
EREG,0.008193863,Positive
ATP2B3,0.00818999,Positive
ANKRD29,0.008189003,Positive
ACTR3C,0.008184322,Positive
CLEC18A,0.008181209,Positive
MPZL3,0.008172118,Positive
PCDH1,0.008171531,Positive
EPS8L3,0.0081698,Positive
SLC6A19,0.008165435,Positive
PCDH17,0.00816393,Positive
DUOX2,0.008151763,Positive
